,出现次数,召回率,查准率,f1-score
accept,46885.0,0.7898,0.9611,0.8671
禁销-马克杯,354.0,0.2938,0.2097,0.2447
禁销-短袖T恤,214.0,0.5093,0.3159,0.39
禁销-时尚/休闲套装,130.0,0.1,0.1831,0.1294
禁销-比基尼,95.0,0.7368,0.4516,0.56
禁销-其它节庆用品,91.0,0.4176,0.3762,0.3958
禁销-分体泳衣,82.0,0.8902,0.2441,0.3832
禁销-现代装饰画,76.0,0.5921,0.4545,0.5143
禁销-S型连衣裙,76.0,0.6579,0.104,0.1795
禁销-欧美模特套装,69.0,0.6232,0.1503,0.2423
禁销-A型连衣裙,65.0,0.4462,0.145,0.2189
禁销-潜水套装,59.0,0.8305,0.3828,0.5241
禁销-男士内裤,57.0,0.8947,0.2772,0.4232
禁销-休闲皮鞋,47.0,0.2766,0.2708,0.2737
禁销-戒指/指环,42.0,0.5,0.0677,0.1193
禁销-其它日用家电,40.0,0.2,0.2581,0.2254
禁销-项链,38.0,0.7632,0.0746,0.1358
禁销-钢笔,36.0,0.1111,0.3636,0.1702
禁销-裹裙/披纱,35.0,0.5143,0.6207,0.5625
禁销-礼服/晚装,34.0,0.7059,0.1067,0.1853
禁销-男式情趣内裤,32.0,0.8125,0.963,0.8814
禁销-女士情趣睡衣,32.0,0.7812,0.9259,0.8475
禁销-女士内裤,29.0,0.931,0.3506,0.5094
禁销-衬衫,26.0,0.7692,0.303,0.4348
禁销-其它,26.0,0.3077,0.3478,0.3265
禁销-斜挎小包,26.0,0.2692,0.068,0.1085
禁销-石英表,25.0,0.56,0.1647,0.2545
违禁-靴子,23.0,0.0,0.0,0.0
禁销-手链,22.0,0.8182,0.1463,0.2483
禁销-短袖衬衫,21.0,0.1429,0.1304,0.1364
禁销-苹果手机保护壳/套,21.0,0.0952,0.0556,0.0702
禁销-女式情趣内裤,19.0,0.9474,1.0,0.973
禁销-挂毯/壁毯,19.0,0.4737,0.4091,0.439
禁销-连体泳衣,19.0,0.5789,0.3438,0.4314
禁销-电子表,19.0,0.3684,0.3043,0.3333
禁销-半身裙,18.0,0.8889,0.2909,0.4384
禁销-智能手表,16.0,0.25,0.4,0.3077
禁销-身部链,16.0,0.9375,0.6,0.7317
禁销-其他连衣裙,15.0,0.7333,0.1183,0.2037
禁销-套装（不包含爬服类）,15.0,0.3333,0.1,0.1538
禁销-正装皮鞋,15.0,0.3333,0.2,0.25
禁销-耳环,15.0,1.0,0.1064,0.1923
禁销-野餐炉具,14.0,0.1429,0.1667,0.1538
禁销-纹身贴,14.0,0.7143,0.4167,0.5263
禁销-缝纫配件,14.0,0.4286,0.24,0.3077
禁销-其他用品,14.0,0.4286,1.0,0.6
禁销-小夜灯,14.0,0.8571,0.2927,0.4364
禁销-拎包/手提包,13.0,0.6923,0.1364,0.2278
禁销-贴纸/贴画,12.0,0.1667,0.3333,0.2222
禁销-男士背包,12.0,0.5,0.2857,0.3636
禁销-其他DIY饰品配件,12.0,0.75,0.8182,0.7826
禁销-桌布/桌旗/桌椅套/椅垫,12.0,0.1667,0.3333,0.2222
禁销-X型连衣裙,11.0,0.5455,0.033,0.0622
禁销-牛仔长裤,10.0,0.4,0.1143,0.1778
禁销-其它手办,10.0,0.7,0.2,0.3111
禁销-休闲鞋,10.0,0.2,0.0317,0.0548
禁销-H型连衣裙,10.0,0.2,0.0317,0.0548
禁销-更多日用品,9.0,0.4444,0.4444,0.4444
禁销-休闲裤,9.0,0.4444,0.1739,0.25
