,出现次数,召回率,查准率,f1-score
accept,46885.0,0.7898,0.9611,0.8671
禁销/宗教-马克杯,304.0,0.3355,0.4048,0.3669
禁销/宗教-短袖T恤,202.0,0.5347,0.3354,0.4122
禁销/宗教-时尚/休闲套装,129.0,0.1008,0.1857,0.1307
禁销/色情低俗-比基尼,92.0,0.7283,0.4621,0.5654
禁销/色情低俗-分体泳衣,73.0,0.8493,0.2145,0.3425
禁销/色情低俗-男士内裤,57.0,0.8772,0.2825,0.4274
禁销/宗教-现代装饰画,53.0,0.4528,0.3692,0.4068
禁销/色情低俗-S型连衣裙,51.0,0.6275,0.0697,0.1255
禁销/色情低俗-潜水套装,51.0,0.6863,0.3241,0.4403
禁销/色情低俗-欧美模特套装,47.0,0.6809,0.1255,0.2119
禁销/宗教-休闲皮鞋,47.0,0.2766,0.2708,0.2737
禁销/色情低俗-A型连衣裙,45.0,0.3556,0.1081,0.1658
禁销/宗教-其它节庆用品,44.0,0.75,0.4125,0.5323
禁销/宗教-戒指/指环,42.0,0.5,0.0693,0.1217
禁销/易燃易爆品-钢笔,35.0,0.0,0.0,0.0
禁销/宗教-项链,34.0,0.7941,0.0718,0.1317
禁销/色情低俗-裹裙/披纱,33.0,0.4848,0.6957,0.5714
禁销-马克杯,32.0,0.0,0.0,0.0
禁销/色情低俗-男式情趣内裤,32.0,0.8125,0.963,0.8814
禁销/色情低俗-女士情趣睡衣,31.0,0.7419,0.92,0.8214
禁销/色情低俗-女士内裤,29.0,0.8966,0.3421,0.4952
禁销/宗教-其它,26.0,0.3077,0.4444,0.3636
禁销/电子类违禁产品-其它日用家电,26.0,0.0,0.0,0.0
禁销/宗教-斜挎小包,26.0,0.2308,0.0652,0.1017
禁销/宗教-S型连衣裙,25.0,0.52,0.5909,0.5532
禁销/宗教-石英表,24.0,0.5417,0.1605,0.2476
禁销-其它节庆用品,24.0,0.0,0.0,0.0
违禁/枪支弹药-靴子,23.0,0.0,0.0,0.0
禁销/宗教-手链,22.0,0.8182,0.15,0.2535
禁销/宗教-A型连衣裙,20.0,0.65,0.25,0.3611
禁销/宗教-短袖衬衫,20.0,0.15,0.1364,0.1429
禁销/宗教-苹果手机保护壳/套,19.0,0.1053,0.0667,0.0816
禁销/色情低俗-现代装饰画,19.0,0.5263,0.303,0.3846
禁销/色情低俗-女式情趣内裤,19.0,0.9474,1.0,0.973
禁销/宗教-欧美模特套装,19.0,0.5263,0.3226,0.4
禁销/色情低俗-连体泳衣,18.0,0.5556,0.3226,0.4082
禁销/宗教-礼服/晚装,17.0,0.5294,0.2903,0.375
禁销/色情低俗-礼服/晚装,17.0,0.8824,0.0773,0.1422
禁销/电子类违禁产品-电子表,16.0,0.0,0.0,0.0
禁销/宗教-半身裙,16.0,0.875,0.4667,0.6087
禁销/宗教-正装皮鞋,15.0,0.3333,0.2,0.25
禁销/宗教-耳环,15.0,1.0,0.1111,0.2
禁销/电子类违禁产品-智能手表,15.0,0.0,0.0,0.0
禁销/色情低俗-其他用品,14.0,0.0714,1.0,0.1333
禁销/色情低俗-马克杯,14.0,0.0714,0.0043,0.0081
禁销/宗教-衬衫,14.0,0.5714,0.3077,0.4
禁销/色情低俗-身部链,14.0,0.9286,0.619,0.7429
禁销/宗教-缝纫配件,13.0,0.3846,0.2778,0.3226
禁销/宗教-挂毯/壁毯,13.0,0.3846,0.2632,0.3125
禁销/易燃易爆品-野餐炉具,13.0,0.0,0.0,0.0
禁销/宗教-拎包/手提包,13.0,0.6923,0.1429,0.2368
禁销/宗教-桌布/桌旗/桌椅套/椅垫,12.0,0.0833,0.2,0.1176
禁销/电子类违禁产品-其它节庆用品,12.0,0.0,0.0,0.0
禁销/宗教-贴纸/贴画,12.0,0.1667,0.3333,0.2222
禁销/色情低俗-衬衫,12.0,0.9167,0.2821,0.4314
禁销/宗教-男士背包,12.0,0.5,0.2857,0.3636
禁销/宗教-其他DIY饰品配件,11.0,0.8182,0.8182,0.8182
禁销/宗教-小夜灯,11.0,0.9091,0.2857,0.4348
禁销/宗教-纹身贴,10.0,0.6,0.375,0.4615
禁销/色情低俗-其他连衣裙,10.0,0.7,0.0824,0.1474
禁销/宗教-休闲鞋,10.0,0.1,0.0167,0.0286
禁销/宗教-分体泳衣,9.0,0.7778,0.7,0.7368
禁销/宗教-气球,9.0,0.4444,0.8,0.5714
禁销/宗教-休闲短裤,9.0,0.4444,0.0769,0.1311
禁销-套装（不包含爬服类）,9.0,0.0,0.0,0.0
禁销/宗教-靴子,9.0,0.2222,0.0476,0.0784
禁销/宗教-连身衣/爬服/哈衣,9.0,1.0,0.4737,0.6429
禁销/宗教-时尚拖鞋,8.0,0.75,0.075,0.1364
禁销/宗教-潜水套装,8.0,0.875,0.35,0.5
涉政-马克杯,8.0,0.0,0.0,0.0
禁销-短袖T恤,8.0,0.0,0.0,0.0
禁销/宗教-单肩包,8.0,0.5,0.0851,0.1455
禁销/宗教-男运动中长裤、短裤,8.0,0.0,0.0,0.0
禁销/色情低俗-身体乳/霜,8.0,0.5,1.0,0.6667
禁销/宗教-X型连衣裙,8.0,0.5,0.16,0.2424
禁销/宗教-T恤,8.0,0.5,0.5,0.5
禁销/宗教-女士背包,8.0,0.0,0.0,0.0
禁销/宗教-牛仔长裤,8.0,0.125,0.1667,0.1429
禁销/色情低俗-其他男用,8.0,0.125,1.0,0.2222
禁销/宗教-手拿包,7.0,0.1429,0.0769,0.1
禁销/宗教-其它手办,7.0,0.7143,0.5,0.5882
禁销/宗教-其它日用家电,7.0,0.4286,0.1364,0.2069
禁销/宗教-床品套件/四件套/多件套,7.0,0.4286,0.1071,0.1714
禁销/色情低俗-情趣文胸套装,7.0,1.0,1.0,1.0
禁销/宗教-更多日用品,7.0,0.5714,0.5714,0.5714
禁销-无檐帽,6.0,0.0,0.0,0.0
禁销/宗教-酒架,6.0,0.5,1.0,0.6667
禁销/宗教-男士运动背心,6.0,0.6667,0.5714,0.6154
禁销/色情低俗-H型连衣裙,6.0,0.1667,0.0185,0.0333
禁销/宗教-机械表,6.0,0.6667,0.1379,0.2286
禁销/色情低俗-情趣丝袜,6.0,0.8333,1.0,0.9091
禁销/宗教-摆件,6.0,0.5,0.1579,0.24
禁销/宗教-宣传单/海报/说明书,6.0,0.0,0.0,0.0
禁销/宗教-女装卫衣,6.0,0.0,0.0,0.0
禁销/宗教-凉鞋,6.0,0.8333,0.1042,0.1852
禁销/宗教-套装（不包含爬服类）,6.0,0.6667,0.0976,0.1702
禁销/色情低俗-连体长裤,5.0,0.8,0.069,0.127
禁销/宗教-浴室用品配件,5.0,0.4,0.1176,0.1818
禁销/宗教-鸭舌帽,5.0,0.8,0.1143,0.2
禁销/色情低俗-休闲裤,5.0,0.4,0.1,0.16
违禁/枪支弹药-马克杯,5.0,0.0,0.0,0.0
禁销/色情低俗-丝袜,5.0,0.6,0.75,0.6667
禁销/色情低俗-男连体衣裤,5.0,0.2,1.0,0.3333
禁销/色情低俗-丰胸精油,5.0,0.8,1.0,0.8889
禁销/医疗器械-其它节庆用品,5.0,0.0,0.0,0.0
禁销/宗教-贴纸,5.0,0.0,0.0,0.0
禁销/宗教-旅行袋,5.0,0.2,0.5,0.2857
禁销-儿童演出服,5.0,0.0,0.0,0.0
禁销/宗教-耳钉,5.0,1.0,0.0714,0.1333
禁销/宗教-项坠/吊坠,5.0,0.8,0.2,0.32
禁销/宗教-男式板鞋,5.0,1.0,0.1163,0.2083
禁销/色情低俗-文胸套装,5.0,1.0,0.2083,0.3448
侵权-马克杯,5.0,0.0,0.0,0.0
禁销/宗教-其他手机保护壳/套,5.0,0.2,0.0909,0.125
禁销/宗教-其他连衣裙,5.0,0.6,0.375,0.4615
禁销/色情低俗-挂毯/壁毯,5.0,0.2,0.3333,0.25
禁销/色情低俗-女士塑身美体裤,5.0,1.0,0.2083,0.3448
禁销/宗教-夹克/外套,5.0,0.6,0.2308,0.3333
禁销/色情低俗-瘦身贴/暖宫贴,4.0,0.75,0.75,0.75
禁销/色情低俗-男士泳衣,4.0,0.75,0.1429,0.24
禁销/宗教-手提包,4.0,0.75,0.4286,0.5455
侵权-苹果手机保护壳/套,4.0,0.0,0.0,0.0
禁销/宗教-整顶假发,4.0,0.75,0.12,0.2069
禁销/宗教-高跟鞋,4.0,0.25,0.0667,0.1053
禁销/宗教-女士上衣,4.0,0.5,0.0714,0.125
禁销/宗教-连衣裙,4.0,0.25,0.0526,0.087
禁销/宗教-H型连衣裙,4.0,0.0,0.0,0.0
违禁/管制刀具-其它日用家电,4.0,0.25,0.0263,0.0476
禁销/宗教-休闲裤,4.0,0.5,0.6667,0.5714
禁销/宗教-休闲长裤,4.0,0.0,0.0,0.0
禁销/色情低俗-纹身贴,4.0,0.75,0.4286,0.5455
禁销/香港管制-其它骑士装备,4.0,0.0,0.0,0.0
禁销/宗教-其他收纳包,4.0,0.5,0.125,0.2
禁销/色情低俗-丰胸乳霜,4.0,0.75,0.3,0.4286
禁销-其它日用家电,4.0,0.0,0.0,0.0
禁销/色情低俗-长袖衬衫,4.0,0.5,0.3333,0.4
禁销/色情低俗-连体短裤,4.0,1.0,0.1,0.1818
禁销/宗教-钥匙扣,4.0,0.75,0.2143,0.3333
禁销/宗教-运动鞋,4.0,1.0,0.3077,0.4706
禁销/电子类违禁产品-手机电池,4.0,0.0,0.0,0.0
禁销/色情低俗-休闲长裤,4.0,0.0,0.0,0.0
禁销-溜冰鞋/旱冰鞋,4.0,0.0,0.0,0.0
禁销-现代装饰画,4.0,0.0,0.0,0.0
禁销/宗教-毛巾/面巾,3.0,1.0,1.0,1.0
禁销/宗教-长袖衬衫,3.0,0.0,0.0,0.0
禁销-欧美模特套装,3.0,0.0,0.0,0.0
