,出现次数,召回率,查准率,f1-score
accept,46885.0,0.7898,0.9611,0.8671
禁销/宗教/十字架-短袖T恤,100.0,0.82,0.328,0.4686
禁销/色情低俗/色情图片-比基尼,90.0,0.0,0.0,0.0
禁销/宗教/十字架-时尚/休闲套装,89.0,0.0787,0.14,0.1007
禁销/宗教/骷髅头-马克杯,84.0,0.0,0.0,0.0
禁销/色情低俗/色情图片-分体泳衣,72.0,0.0,0.0,0.0
禁销/宗教/十字架-马克杯,54.0,0.463,0.2475,0.3226
禁销/色情低俗/色情图片-潜水套装,51.0,0.0,0.0,0.0
禁销/色情低俗/色情图片-男士内裤,50.0,0.0,0.0,0.0
禁销/色情低俗/色情图片-S型连衣裙,50.0,0.0,0.0,0.0
禁销/宗教/圣诞老人-马克杯,48.0,0.2917,1.0,0.4516
禁销/宗教/酒瓶-休闲皮鞋,47.0,0.2766,0.8667,0.4194
禁销/色情低俗/色情图片-欧美模特套装,47.0,0.0,0.0,0.0
禁销/色情低俗/色情图片-A型连衣裙,45.0,0.0,0.0,0.0
禁销/易燃易爆品-钢笔,35.0,0.0,0.0,0.0
禁销/宗教/骷髅头-短袖T恤,35.0,0.0,0.0,0.0
禁销/色情低俗/色情图片-裹裙/披纱,33.0,0.0,0.0,0.0
禁销-马克杯,32.0,0.0,0.0,0.0
禁销/色情低俗/情趣内衣无真人-男式情趣内裤,29.0,0.0,0.0,0.0
禁销/宗教/香烟-现代装饰画,27.0,0.2963,0.6667,0.4103
禁销/宗教/圣诞树-马克杯,27.0,0.8148,0.3492,0.4889
禁销/宗教/南瓜灯-马克杯,26.0,0.7692,0.9091,0.8333
禁销/宗教/酒瓶-其它,26.0,0.2692,0.5833,0.3684
禁销/宗教/酒瓶-斜挎小包,25.0,0.04,0.125,0.0606
禁销/色情低俗/情趣内衣-女士情趣睡衣,24.0,0.0,0.0,0.0
禁销-其它节庆用品,24.0,0.0,0.0,0.0
禁销/宗教/酒瓶-时尚/休闲套装,23.0,0.0,0.0,0.0
