,出现次数,标签占比,标签召回率,标签查准率,品类,品类占比,品类召回率,品类查准率,机审是否支持,是否fordeal关注,统计时间段
accept,86300.0,0.8049847491301874,0.9035,0.9743,accept,0.8049847491301874,0.9035,0.9743,否,否,2022-04-25~2022-05-09
nike,554.0,0.005167573012956244,0.991,0.8394,男士跑步鞋,0.008516234947344855,0.9058273822562981,0.7498665936473167,是,否,2022-04-25~2022-05-09
nike,479.0,0.0044679918288917705,0.9812,0.8902,男式板鞋,0.008376318710531962,0.898663697104677,0.827977951002227,是,否,2022-04-25~2022-05-09
nike,205.0,0.0019121885697762273,0.9317,0.6388,休闲鞋,0.012984226776236625,0.9022972701149428,0.7881853448275863,是,否,2022-04-25~2022-05-09
nike,185.0,0.0017256335873590343,0.9622,0.9271,短袖T恤,0.012760360797335992,0.7668124269005849,0.7835489035087722,是,否,2022-04-25~2022-05-09
salomon,177.0,0.0016510115943921572,0.9887,0.9722,休闲鞋,0.012984226776236625,0.9022972701149428,0.7881853448275863,是,否,2022-04-25~2022-05-09
rolex,173.0,0.0016137005979087187,0.9884,1.0,机械表,0.003497905920322367,0.9786487999999999,0.9633736000000002,是,是,2022-04-25~2022-05-09
adidas,157.0,0.0014644566119749642,0.9873,0.9873,时尚/休闲套装,0.009551615099760278,0.8476658203125,0.8415403320312499,是,是,2022-04-25~2022-05-09
gucci,139.0,0.0012965571277994907,0.9784,0.764,休闲鞋,0.012984226776236625,0.9022972701149428,0.7881853448275863,是,是,2022-04-25~2022-05-09
nike,132.0,0.0012312628839534732,0.9773,0.9281,时尚/休闲套装,0.009551615099760278,0.8476658203125,0.8415403320312499,是,否,2022-04-25~2022-05-09
gucci,119.0,0.001110002145382298,0.9748,0.7891,时尚拖鞋,0.004486647327133491,0.8399201663201659,0.7196168399168396,是,是,2022-04-25~2022-05-09
nike,118.0,0.0011006743962614382,1.0,0.8489,女式板鞋,0.0016043728487878594,0.9709302325581394,0.8602622093023254,是,否,2022-04-25~2022-05-09
gucci,116.0,0.0010820188980197188,1.0,0.725,斜挎小包,0.00782598151240124,0.9356425506555425,0.8121528009535163,是,是,2022-04-25~2022-05-09
asics,114.0,0.0010633633997779997,0.9912,0.9826,休闲鞋,0.012984226776236625,0.9022972701149428,0.7881853448275863,是,否,2022-04-25~2022-05-09
christian_dior,110.0,0.001026052403294561,0.9727,0.9727,短袖T恤,0.012760360797335992,0.7668124269005849,0.7835489035087722,否,否,2022-04-25~2022-05-09
michael_kors,108.0,0.0010073969050528417,0.9815,0.8346,斜挎小包,0.00782598151240124,0.9356425506555425,0.8121528009535163,是,是,2022-04-25~2022-05-09
gucci,108.0,0.0010073969050528417,0.8889,0.7805,男式板鞋,0.008376318710531962,0.898663697104677,0.827977951002227,是,是,2022-04-25~2022-05-09
adidas_yeezy,101.0,0.0009421026612068242,0.6436,0.65,男士跑步鞋,0.008516234947344855,0.9058273822562981,0.7498665936473167,否,否,2022-04-25~2022-05-09
gucci,101.0,0.0009421026612068242,1.0,0.9528,手拿包,0.0030781572098836823,0.915156666666667,0.9125030303030306,是,是,2022-04-25~2022-05-09
nike,98.0,0.0009141194138442452,0.9796,0.8496,女士跑步鞋,0.0021360545486768584,0.8427978165938868,0.8251414847161574,是,否,2022-04-25~2022-05-09
michael_kors,97.0,0.0009047916647233856,0.9794,0.8482,拎包/手提包,0.0027330304924118747,0.7371948805460756,0.6748119453924919,是,是,2022-04-25~2022-05-09
coach,93.0,0.000867480668239947,1.0,0.9394,斜挎小包,0.00782598151240124,0.9356425506555425,0.8121528009535163,是,是,2022-04-25~2022-05-09
nike,93.0,0.000867480668239947,0.9785,0.9192,篮球鞋,0.0009327749120859646,0.960005,0.904856,是,否,2022-04-25~2022-05-09
cartier,81.0,0.0007555476787896312,1.0,1.0,机械表,0.003497905920322367,0.9786487999999999,0.9633736000000002,是,是,2022-04-25~2022-05-09
under_armour,74.0,0.0006902534349436137,0.9865,1.0,休闲鞋,0.012984226776236625,0.9022972701149428,0.7881853448275863,是,是,2022-04-25~2022-05-09
chanel,70.0,0.0006529424384601752,1.0,0.5556,斜挎小包,0.00782598151240124,0.9356425506555425,0.8121528009535163,是,是,2022-04-25~2022-05-09
christian_dior,68.0,0.0006342869402184559,0.9265,0.8873,斜挎小包,0.00782598151240124,0.9356425506555425,0.8121528009535163,否,否,2022-04-25~2022-05-09
drew,67.0,0.0006249591910975962,0.0,0.0,时尚/休闲套装,0.009551615099760278,0.8476658203125,0.8415403320312499,否,否,2022-04-25~2022-05-09
hello_kitty,67.0,0.0006249591910975962,1.0,1.0,马克杯,0.004822446295484437,0.43133210831721475,0.4940435203094778,是,否,2022-04-25~2022-05-09
gucci,66.0,0.0006156314419767366,0.9697,0.9275,时尚/休闲套装,0.009551615099760278,0.8476658203125,0.8415403320312499,是,是,2022-04-25~2022-05-09
adidas,65.0,0.0006063036928558769,0.9077,0.9077,短袖T恤,0.012760360797335992,0.7668124269005849,0.7835489035087722,是,是,2022-04-25~2022-05-09
adidas,65.0,0.0006063036928558769,0.6462,0.7,休闲鞋,0.012984226776236625,0.9022972701149428,0.7881853448275863,是,是,2022-04-25~2022-05-09
hermes,64.0,0.0005969759437350173,0.9375,0.9677,休闲鞋,0.012984226776236625,0.9022972701149428,0.7881853448275863,是,是,2022-04-25~2022-05-09
adidas_yeezy,63.0,0.0005876481946141577,0.746,0.8103,休闲鞋,0.012984226776236625,0.9022972701149428,0.7881853448275863,否,否,2022-04-25~2022-05-09
prada,62.0,0.000578320445493298,1.0,0.9538,斜挎小包,0.00782598151240124,0.9356425506555425,0.8121528009535163,是,是,2022-04-25~2022-05-09
gucci,61.0,0.0005689926963724384,1.0,0.9385,休闲短裤,0.0027889969871370333,0.8695602006688964,0.8810127090301005,是,是,2022-04-25~2022-05-09
christian_dior,61.0,0.0005689926963724384,0.9672,0.9672,耳环,0.0017256335873590345,0.8918929729729725,0.7681616216216214,否,否,2022-04-25~2022-05-09
hermes,59.0,0.0005503371981307191,0.1525,0.8182,拎包/手提包,0.0027330304924118747,0.7371948805460756,0.6748119453924919,是,是,2022-04-25~2022-05-09
adidas,57.0,0.0005316816998889998,0.9649,1.0,无模特套装,0.0029568964713125078,0.9621435331230284,0.9547593059936907,是,是,2022-04-25~2022-05-09
christian_dior,56.0,0.0005223539507681401,0.9643,0.9,休闲鞋,0.012984226776236625,0.9022972701149428,0.7881853448275863,否,否,2022-04-25~2022-05-09
michael_kors,55.0,0.0005130262016472804,0.9636,0.791,单肩包,0.0020521048065891214,0.8636195454545457,0.691158181818182,是,是,2022-04-25~2022-05-09
adidas,55.0,0.0005130262016472804,0.7455,0.5857,男士跑步鞋,0.008516234947344855,0.9058273822562981,0.7498665936473167,是,是,2022-04-25~2022-05-09
off_white,55.0,0.0005130262016472804,0.9091,0.9804,短袖T恤,0.012760360797335992,0.7668124269005849,0.7835489035087722,是,是,2022-04-25~2022-05-09
stone_island,54.0,0.0005036984525264209,0.1296,1.0,短袖T恤,0.012760360797335992,0.7668124269005849,0.7835489035087722,否,否,2022-04-25~2022-05-09
new_era,53.0,0.0004943707034055612,1.0,0.9815,鸭舌帽,0.0027050472450492967,0.9620696551724139,0.9189458620689657,是,否,2022-04-25~2022-05-09
adidas,52.0,0.00048504295428470153,0.8077,0.84,男式板鞋,0.008376318710531962,0.898663697104677,0.827977951002227,是,是,2022-04-25~2022-05-09
louis_vuitton,52.0,0.00048504295428470153,0.9808,0.8947,男式板鞋,0.008376318710531962,0.898663697104677,0.827977951002227,是,是,2022-04-25~2022-05-09
lacoste,52.0,0.00048504295428470153,1.0,0.8667,时尚/休闲套装,0.009551615099760278,0.8476658203125,0.8415403320312499,是,是,2022-04-25~2022-05-09
prada,51.0,0.0004757152051638419,1.0,1.0,手拿包,0.0030781572098836823,0.915156666666667,0.9125030303030306,是,是,2022-04-25~2022-05-09
nike,49.0,0.0004570597069221226,1.0,0.9608,无模特套装,0.0029568964713125078,0.9621435331230284,0.9547593059936907,是,否,2022-04-25~2022-05-09
nike,49.0,0.0004570597069221226,0.9388,0.5227,运动鞋,0.0015204231067001222,0.8098226993865031,0.6915546012269939,是,否,2022-04-25~2022-05-09
armani,48.0,0.000447731957801263,1.0,1.0,时尚/休闲套装,0.009551615099760278,0.8476658203125,0.8415403320312499,是,是,2022-04-25~2022-05-09
chanel,48.0,0.000447731957801263,0.9792,0.7581,耳环,0.0017256335873590345,0.8918929729729725,0.7681616216216214,是,是,2022-04-25~2022-05-09
calvin_klein,48.0,0.000447731957801263,1.0,1.0,男士内裤,0.0015577341031835612,0.9640718562874251,0.9754467065868261,是,是,2022-04-25~2022-05-09
new_york_yankees,48.0,0.000447731957801263,1.0,0.9057,鸭舌帽,0.0027050472450492967,0.9620696551724139,0.9189458620689657,是,否,2022-04-25~2022-05-09
rolex,47.0,0.00043840420868040335,1.0,1.0,石英表,0.0019774828136222443,0.9528386792452834,0.8737891509433966,是,是,2022-04-25~2022-05-09
gucci,47.0,0.00043840420868040335,1.0,0.9592,鸭舌帽,0.0027050472450492967,0.9620696551724139,0.9189458620689657,是,是,2022-04-25~2022-05-09
gucci,46.0,0.0004290764595595437,1.0,0.697,休闲皮鞋,0.0010073969050528417,0.8425962962962963,0.6263249999999999,是,是,2022-04-25~2022-05-09
cartier,46.0,0.0004290764595595437,0.9783,0.9,石英表,0.0019774828136222443,0.9528386792452834,0.8737891509433966,是,是,2022-04-25~2022-05-09
real_madrid,45.0,0.000419748710438684,0.0,0.0,男士足球服,0.00233193728021491,0.45999760000000034,0.6157336000000004,否,否,2022-04-25~2022-05-09
victorias_secret,45.0,0.000419748710438684,0.0,0.0,欧美模特套装,0.001082018898019719,0.5000034482758621,0.353451724137931,是,否,2022-04-25~2022-05-09
chanel,45.0,0.000419748710438684,1.0,0.5844,时尚拖鞋,0.004486647327133491,0.8399201663201659,0.7196168399168396,是,是,2022-04-25~2022-05-09
nike,44.0,0.0004104209613178244,0.9318,0.9762,短袖Polo衫,0.003609838909772682,0.7932793281653747,0.8354294573643413,是,否,2022-04-25~2022-05-09
versace,44.0,0.0004104209613178244,0.9773,0.9773,手拿包,0.0030781572098836823,0.915156666666667,0.9125030303030306,是,是,2022-04-25~2022-05-09
louis_vuitton,42.0,0.0003917654630761051,0.9524,0.8333,休闲鞋,0.012984226776236625,0.9022972701149428,0.7881853448275863,是,是,2022-04-25~2022-05-09
celine,41.0,0.00038243771395524547,1.0,0.9318,斜挎小包,0.00782598151240124,0.9356425506555425,0.8121528009535163,是,是,2022-04-25~2022-05-09
bottega_veneta,41.0,0.00038243771395524547,0.2927,0.8571,时尚拖鞋,0.004486647327133491,0.8399201663201659,0.7196168399168396,是,是,2022-04-25~2022-05-09
hermes,40.0,0.00037310996483438583,0.825,0.9167,斜挎小包,0.00782598151240124,0.9356425506555425,0.8121528009535163,是,是,2022-04-25~2022-05-09
disney_frozen,39.0,0.0003637822157135262,0.5641,1.0,凉鞋,0.0013618513716455085,0.5890431506849316,0.5642739726027396,否,否,2022-04-25~2022-05-09
adidas_yeezy,39.0,0.0003637822157135262,0.4872,0.9048,女士跑步鞋,0.0021360545486768584,0.8427978165938868,0.8251414847161574,否,否,2022-04-25~2022-05-09
hugo_boss,38.0,0.0003544544665926665,1.0,1.0,休闲短裤,0.0027889969871370333,0.8695602006688964,0.8810127090301005,是,是,2022-04-25~2022-05-09
gucci,37.0,0.00034512671747180686,0.9459,0.614,短袖T恤,0.012760360797335992,0.7668124269005849,0.7835489035087722,是,是,2022-04-25~2022-05-09
balenciaga,37.0,0.00034512671747180686,1.0,0.8605,男士跑步鞋,0.008516234947344855,0.9058273822562981,0.7498665936473167,是,是,2022-04-25~2022-05-09
gucci,37.0,0.00034512671747180686,0.9459,0.9459,墨镜,0.0016416838452712975,0.8806744318181818,0.8375994318181817,是,是,2022-04-25~2022-05-09
tommy_hilfiger,37.0,0.00034512671747180686,1.0,1.0,时尚/休闲套装,0.009551615099760278,0.8476658203125,0.8415403320312499,是,是,2022-04-25~2022-05-09
burberry,36.0,0.0003357989683509472,0.9722,0.8537,短袖T恤,0.012760360797335992,0.7668124269005849,0.7835489035087722,是,是,2022-04-25~2022-05-09
hermes,36.0,0.0003357989683509472,0.6111,0.8462,时尚拖鞋,0.004486647327133491,0.8399201663201659,0.7196168399168396,是,是,2022-04-25~2022-05-09
converse,36.0,0.0003357989683509472,1.0,0.9,帆布鞋,0.0008581529191190876,0.8695630434782607,0.7485793478260868,是,是,2022-04-25~2022-05-09
nike,35.0,0.0003264712192300876,0.6,0.875,足球鞋,0.0005316816998889998,0.5614035087719298,0.8793859649122806,是,否,2022-04-25~2022-05-09
gucci,33.0,0.0003078157209883683,0.9394,0.9688,无模特套装,0.0029568964713125078,0.9621435331230284,0.9547593059936907,是,是,2022-04-25~2022-05-09
calvin_klein,31.0,0.000289160222746649,1.0,0.9688,时尚/休闲套装,0.009551615099760278,0.8476658203125,0.8415403320312499,是,是,2022-04-25~2022-05-09
gucci,31.0,0.000289160222746649,0.9677,0.5882,单肩包,0.0020521048065891214,0.8636195454545457,0.691158181818182,是,是,2022-04-25~2022-05-09
calvin_klein,31.0,0.000289160222746649,1.0,1.0,无模特套装,0.0029568964713125078,0.9621435331230284,0.9547593059936907,是,是,2022-04-25~2022-05-09
