,出现次数,标签占比,标签召回率,标签查准率,品类,品类占比,品类召回率,品类查准率,机审是否支持,是否fordeal关注,统计时间段
accept,26044.0,0.2429318981036686,0.9782,0.9896,马克杯,0.24641114852574925,0.9683251693984933,0.9784372260286937,否,否,2022-04-25~2022-05-09
accept,3393.0,0.031649052767076774,0.9334,0.9888,A型连衣裙,0.03225535645993265,0.9242421052631579,0.9729390977443608,否,否,2022-04-25~2022-05-09
accept,3335.0,0.03110804331806692,0.9031,0.966,短袖T恤,0.03313216487729346,0.8786116835585586,0.9260170608108108,否,否,2022-04-25~2022-05-09
accept,3235.0,0.030175268405980952,0.9549,0.9971,休闲鞋,0.030277873646310408,0.952280191004313,0.9938186999383857,否,否,2022-04-25~2022-05-09
accept,2422.0,0.022591808370722062,0.9719,0.9992,男士跑步鞋,0.02261046386896378,0.9710981023102311,0.9983755775577559,否,否,2022-04-25~2022-05-09
accept,1962.0,0.018301043775126626,0.8491,0.9876,戒指/指环,0.01869280923820273,0.8417835329341318,0.9683206586826348,否,否,2022-04-25~2022-05-09
accept,1893.0,0.01765742908578731,0.9282,0.9989,时尚拖鞋,0.017732051078754186,0.9274500789058392,0.9949706996317728,否,否,2022-04-25~2022-05-09
accept,1834.0,0.01710709188765659,0.9258,0.9889,斜挎小包,0.01734961336479894,0.9166217204301074,0.9760272043010751,否,否,2022-04-25~2022-05-09
accept,1648.0,0.015372130551176696,0.9326,1.0,男式板鞋,0.015418769296780994,0.9328038717483363,0.997318814277072,否,否,2022-04-25~2022-05-09
accept,1643.0,0.015325491805572397,0.7797,0.9915,项链,0.015707929519527646,0.7779386579572446,0.9690435273159145,否,否,2022-04-25~2022-05-09
accept,1568.0,0.014625910621507924,0.9624,0.9987,凉鞋,0.01469120486535394,0.9612973333333334,0.994696888888889,否,否,2022-04-25~2022-05-09
accept,1257.0,0.011724980644920575,0.9173,0.9722,休闲皮鞋,0.012163384853600977,0.8942072852760736,0.9469194785276073,否,否,2022-04-25~2022-05-09
accept,1217.0,0.011351870680086189,0.94,0.9072,时尚/休闲套装,0.012564478065797942,0.8589309576837416,0.837316555308092,否,否,2022-04-25~2022-05-09
accept,1189.0,0.011090693704702118,0.8452,0.995,X型连衣裙,0.011193298945031575,0.8424527499999999,0.9861816666666666,否,否,2022-04-25~2022-05-09
accept,1135.0,0.010586995252175697,0.6185,0.9643,S型连衣裙,0.01129590418536103,0.620972667217176,0.9103092485549135,否,否,2022-04-25~2022-05-09
accept,1124.0,0.01048439001184624,0.9128,0.9894,石英表,0.010717583739867732,0.9051237597911226,0.9714561357702348,否,否,2022-04-25~2022-05-09
accept,1075.0,0.010027330304924118,0.9172,0.996,单肩包,0.010101952297890996,0.914118190212373,0.9892107109879963,否,否,2022-04-25~2022-05-09
accept,1061.0,0.009896741817232083,0.934,0.99,套装（不包含爬服类）,0.010036658054044977,0.9256259293680299,0.977592936802974,否,否,2022-04-25~2022-05-09
accept,1028.0,0.009588926096243715,0.751,0.9674,欧美模特套装,0.010232540785583031,0.7429615314494074,0.9160053783044667,否,否,2022-04-25~2022-05-09
accept,1010.0,0.009421026612068242,0.902,0.9712,靴子,0.00971951458393575,0.8762186180422266,0.9417672744721689,否,否,2022-04-25~2022-05-09
accept,985.0,0.00918783288404675,0.9543,0.9761,苹果手机保护壳/套,0.00942102661206824,0.9326581188118813,0.9530951485148516,否,否,2022-04-25~2022-05-09
accept,979.0,0.009131866389321593,0.906,0.9955,拎包/手提包,0.00925312712789277,0.9031994959677418,0.9842416330645162,否,否,2022-04-25~2022-05-09
accept,976.0,0.009103883141959014,0.8596,1.0,耳环,0.009243799378771908,0.861725126135217,0.9864742684157417,否,否,2022-04-25~2022-05-09
accept,959.0,0.0089453114069044,0.9353,0.9978,女士上衣,0.009001277901629558,0.9325934715025908,0.9919293264248705,否,否,2022-04-25~2022-05-09
accept,894.0,0.008339007714048522,0.774,0.9858,礼服/晚装,0.00865615118415775,0.7715049568965517,0.9535915948275862,否,否,2022-04-25~2022-05-09
accept,892.0,0.008320352215806804,0.9294,0.9928,衬衫,0.008562873692949155,0.9248627450980392,0.9732631808278868,否,否,2022-04-25~2022-05-09
accept,844.0,0.00787262025800554,0.9265,0.9899,H型连衣裙,0.007965897749214136,0.9179929742388759,0.9786798594847776,否,否,2022-04-25~2022-05-09
accept,748.0,0.006977156342403015,0.9626,0.9931,床品套件/四件套/多件套,0.007051778335369892,0.9563820105820106,0.9836851851851852,否,否,2022-04-25~2022-05-09
accept,747.0,0.006967828593282155,0.9398,0.9957,高跟凉鞋,0.006995811840644734,0.9360408,0.9917172000000001,否,否,2022-04-25~2022-05-09
accept,601.0,0.005605977221636647,0.9834,1.0,运动鞋,0.005643288218120086,0.9835097520661158,0.9954228099173553,否,否,2022-04-25~2022-05-09
accept,582.0,0.005428749988340313,0.957,0.9929,连衣裙,0.005475388733944612,0.9505519591141396,0.9847267461669504,否,否,2022-04-25~2022-05-09
accept,581.0,0.005419422239219454,0.9759,0.9965,短袖Polo衫,0.005447405486582033,0.9725989726027398,0.9918479452054796,否,否,2022-04-25~2022-05-09
accept,576.0,0.005372783493615156,0.9184,0.9981,鸭舌帽,0.005438077737461172,0.9142339622641511,0.9869135506003431,否,否,2022-04-25~2022-05-09
accept,565.0,0.005270178253285699,0.9381,0.9962,机械表,0.005326144748010857,0.9352481611208406,0.9871327495621717,否,否,2022-04-25~2022-05-09
accept,559.0,0.0052142117585605415,0.9231,0.9942,高跟鞋,0.00525152275504398,0.9183177619893427,0.9875314387211366,否,否,2022-04-25~2022-05-09
accept,553.0,0.005158245263835384,0.9204,0.9961,半身裙,0.005326144748010858,0.9194070052539405,0.9738695271453589,否,否,2022-04-25~2022-05-09
accept,543.0,0.005064967772626787,0.895,0.94,现代装饰画,0.00578320445493298,0.8564267741935483,0.8789709677419354,否,否,2022-04-25~2022-05-09
accept,531.0,0.004953034783176472,0.7815,0.9905,手链,0.005167573012956244,0.7815467509025271,0.9551879061371842,否,否,2022-04-25~2022-05-09
accept,510.0,0.004757152051638419,0.8569,0.9776,正装皮鞋,0.004897068288451313,0.8419400000000001,0.9553828571428572,否,否,2022-04-25~2022-05-09
