,出现次数,标签占比,标签召回率,标签查准率,统计时间段
accept,104159.0,0.9715690206796198,0.9054,0.9844,2022-04-25~2022-05-09
禁销/宗教,1745.0,0.016276922215900082,0.4579,0.1647,2022-04-25~2022-05-09
禁销/色情低俗,872.0,0.008133797233389611,0.6778,0.1414,2022-04-25~2022-05-09
禁销,136.0,0.0012685738804369118,0.0,0.0,2022-04-25~2022-05-09
禁销/电子类违禁产品,96.0,0.000895463915602526,0.0,0.0,2022-04-25~2022-05-09
禁销/易燃易爆品,56.0,0.0005223539507681401,0.0,0.0,2022-04-25~2022-05-09
违禁/枪支弹药,40.0,0.00037310996483438583,0.0,0.0,2022-04-25~2022-05-09
违禁/管制刀具,17.0,0.00015857173505461397,0.5294,0.0039,2022-04-25~2022-05-09
涉政,17.0,0.00015857173505461397,0.0,0.0,2022-04-25~2022-05-09
侵权,17.0,0.00015857173505461397,0.0,0.0,2022-04-25~2022-05-09
禁销/医疗器械,11.0,0.0001026052403294561,0.0,0.0,2022-04-25~2022-05-09
禁销/毒品,10.0,9.327749120859646e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/香港管制,7.0,6.529424384601752e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/药品,5.0,4.663874560429823e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/安全隐患类,3.0,2.7983247362578937e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/赌博,3.0,2.7983247362578937e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/危险化学品类,1.0,9.327749120859646e-06,0.0,0.0,2022-04-25~2022-05-09
禁销/暴力血腥,1.0,9.327749120859646e-06,0.0,0.0,2022-04-25~2022-05-09
