,出现次数,标签占比,标签召回率,标签查准率,机审是否支持,是否fordeal关注,统计时间段
accept,86300.0,0.8049847491301874,0.9035,0.9743,否,否,2022-04-25~2022-05-09
nike,2370.0,0.02210676541643736,0.9662,0.7101,是,否,2022-04-25~2022-05-09
gucci,1646.0,0.015353475052934976,0.966,0.6083,是,是,2022-04-25~2022-05-09
adidas,831.0,0.0077513595194343655,0.8544,0.8776,是,是,2022-04-25~2022-05-09
christian_dior,609.0,0.005680599214603524,0.9425,0.7939,否,否,2022-04-25~2022-05-09
chanel,546.0,0.005092951019989366,0.9853,0.4753,是,是,2022-04-25~2022-05-09
louis_vuitton,486.0,0.004533286072737787,0.9506,0.5782,是,是,2022-04-25~2022-05-09
versace,386.0,0.0036005111606518233,0.9585,0.3011,是,是,2022-04-25~2022-05-09
burberry,383.0,0.003572527913289244,0.8381,0.7213,是,是,2022-04-25~2022-05-09
hermes,373.0,0.003479250422080648,0.6863,0.8449,是,是,2022-04-25~2022-05-09
michael_kors,283.0,0.0026397530012032796,0.9717,0.7971,是,是,2022-04-25~2022-05-09
prada,261.0,0.0024345425205443676,0.9923,0.8492,是,是,2022-04-25~2022-05-09
fendi,251.0,0.002341265029335771,0.9442,0.4463,是,是,2022-04-25~2022-05-09
adidas_yeezy,240.0,0.0022386597890063148,0.6625,0.7067,否,否,2022-04-25~2022-05-09
armani,234.0,0.002182693294281157,0.9957,0.5521,是,是,2022-04-25~2022-05-09
rolex,234.0,0.002182693294281157,0.9872,1.0,是,是,2022-04-25~2022-05-09
calvin_klein,224.0,0.0020894158030725606,0.9955,0.9612,是,是,2022-04-25~2022-05-09
salomon,219.0,0.0020427770574682623,0.9817,0.8704,是,否,2022-04-25~2022-05-09
bottega_veneta,208.0,0.0019401718171388061,0.3606,0.8824,是,是,2022-04-25~2022-05-09
tommy_hilfiger,202.0,0.0018842053224136484,0.9752,0.9426,是,是,2022-04-25~2022-05-09
hugo_boss,193.0,0.0018002555803259116,1.0,1.0,是,是,2022-04-25~2022-05-09
cartier,185.0,0.0017256335873590343,0.8108,0.9434,是,是,2022-04-25~2022-05-09
balenciaga,176.0,0.0016416838452712975,0.9943,0.5058,是,是,2022-04-25~2022-05-09
dsquared2,170.0,0.0015857173505461398,0.7647,0.9848,是,否,2022-04-25~2022-05-09
puma,167.0,0.0015577341031835607,0.9401,0.4861,是,是,2022-04-25~2022-05-09
lacoste,155.0,0.001445801113733245,1.0,0.8289,是,是,2022-04-25~2022-05-09
mickey_mouse,153.0,0.0014271456154915257,0.8824,0.7181,否,否,2022-04-25~2022-05-09
stone_island,148.0,0.0013805068698872274,0.3041,1.0,否,否,2022-04-25~2022-05-09
asics,134.0,0.0012499183821951924,0.9328,0.8803,是,否,2022-04-25~2022-05-09
off_white,132.0,0.0012312628839534732,0.7652,0.7953,是,是,2022-04-25~2022-05-09
coach,130.0,0.0012126073857117539,0.9769,0.3649,是,是,2022-04-25~2022-05-09
celine,121.0,0.001128657643624017,0.9421,0.5507,是,是,2022-04-25~2022-05-09
hello_kitty,121.0,0.001128657643624017,0.9917,0.8696,是,否,2022-04-25~2022-05-09
thom_browne,117.0,0.0010913466471405785,0.1111,0.4643,否,否,2022-04-25~2022-05-09
new_york_yankees,109.0,0.0010167246541737014,0.9817,0.2102,是,否,2022-04-25~2022-05-09
ralph_lauren,103.0,0.0009607581594485435,0.9903,0.9107,是,否,2022-04-25~2022-05-09
under_armour,103.0,0.0009607581594485435,0.9806,0.8938,是,是,2022-04-25~2022-05-09
yves_saint_laurent,101.0,0.0009421026612068242,0.9901,0.8333,否,是,2022-04-25~2022-05-09
drew,98.0,0.0009141194138442452,0.0,0.0,否,否,2022-04-25~2022-05-09
disney_frozen,89.0,0.0008301696717565085,0.6854,1.0,否,否,2022-04-25~2022-05-09
