,出现次数,召回率,查准率,f1-score
accept,86300.0,0.8472,0.9726,0.9056
nike-男士跑步鞋,554.0,0.991,0.7821,0.8742
nike-男式板鞋,479.0,0.9812,0.8704,0.9225
nike-休闲鞋,205.0,0.9317,0.5736,0.71
nike-短袖T恤,185.0,0.9622,0.9036,0.9319
salomon-休闲鞋,177.0,0.9887,0.9669,0.9777
rolex-机械表,173.0,0.9884,1.0,0.9942
adidas-时尚/休闲套装,157.0,0.9873,0.9873,0.9873
gucci-休闲鞋,139.0,0.9784,0.7312,0.8369
nike-时尚/休闲套装,132.0,0.9773,0.9149,0.9451
gucci-时尚拖鞋,119.0,0.9748,0.7436,0.8436
nike-女式板鞋,118.0,1.0,0.8252,0.9042
gucci-斜挎小包,116.0,1.0,0.6667,0.8
asics-休闲鞋,114.0,0.9912,0.9826,0.9869
christian_dior-短袖T恤,110.0,0.9727,0.964,0.9683
michael_kors-斜挎小包,108.0,0.9815,0.8346,0.9021
gucci-男式板鞋,108.0,0.8889,0.7559,0.817
adidas_yeezy-男士跑步鞋,101.0,0.6436,0.5652,0.6019
gucci-手拿包,101.0,1.0,0.9439,0.9712
nike-女士跑步鞋,98.0,0.9796,0.8136,0.8889
michael_kors-拎包/手提包,97.0,0.9794,0.8482,0.9091
coach-斜挎小包,93.0,1.0,0.8942,0.9442
nike-篮球鞋,93.0,0.9785,0.901,0.9381
cartier-机械表,81.0,1.0,1.0,1.0
under_armour-休闲鞋,74.0,0.9865,1.0,0.9932
chanel-斜挎小包,70.0,1.0,0.4861,0.6542
christian_dior-斜挎小包,68.0,0.9265,0.84,0.8811
drew-时尚/休闲套装,67.0,0.0,0.0,0.0
hello_kitty-马克杯,67.0,1.0,1.0,1.0
gucci-时尚/休闲套装,66.0,0.9697,0.9275,0.9481
adidas-短袖T恤,65.0,0.9077,0.8939,0.9008
adidas-休闲鞋,65.0,0.6462,0.6364,0.6412
hermes-休闲鞋,64.0,0.9375,0.9677,0.9524
adidas_yeezy-休闲鞋,63.0,0.746,0.7015,0.7231
prada-斜挎小包,62.0,1.0,0.9538,0.9764
gucci-休闲短裤,61.0,1.0,0.9104,0.9531
christian_dior-耳环,61.0,0.9672,0.9672,0.9672
hermes-拎包/手提包,59.0,0.1525,0.75,0.2535
adidas-无模特套装,57.0,0.9649,1.0,0.9821
christian_dior-休闲鞋,56.0,0.9643,0.8438,0.9
michael_kors-单肩包,55.0,0.9636,0.791,0.8689
off_white-短袖T恤,55.0,0.9091,0.9434,0.9259
adidas-男士跑步鞋,55.0,0.7455,0.5694,0.6457
stone_island-短袖T恤,54.0,0.1296,1.0,0.2295
new_era-鸭舌帽,53.0,1.0,0.9815,0.9907
adidas-男式板鞋,52.0,0.8077,0.84,0.8235
louis_vuitton-男式板鞋,52.0,0.9808,0.8793,0.9273
lacoste-时尚/休闲套装,52.0,1.0,0.8667,0.9286
prada-手拿包,51.0,1.0,1.0,1.0
nike-运动鞋,49.0,0.9388,0.4742,0.6301
nike-无模特套装,49.0,1.0,0.9608,0.98
new_york_yankees-鸭舌帽,48.0,1.0,0.8276,0.9057
armani-时尚/休闲套装,48.0,1.0,0.9796,0.9897
chanel-耳环,48.0,0.9792,0.7231,0.8319
calvin_klein-男士内裤,48.0,1.0,1.0,1.0
rolex-石英表,47.0,1.0,0.9592,0.9792
gucci-鸭舌帽,47.0,1.0,0.9592,0.9792
gucci-休闲皮鞋,46.0,1.0,0.6053,0.7541
cartier-石英表,46.0,0.9783,0.8654,0.9184
victorias_secret-欧美模特套装,45.0,0.0,0.0,0.0
chanel-时尚拖鞋,45.0,1.0,0.5488,0.7087
real_madrid-男士足球服,45.0,0.0,0.0,0.0
nike-短袖Polo衫,44.0,0.9318,0.9762,0.9535
versace-手拿包,44.0,0.9773,0.9773,0.9773
